peripheral,register,field_name,key,correct_value
,,,,
adc,cfgr2,,reset_value,0x0
adc,tr,,reset_value,0xFFF0000
crc,init,,address_offset,0x10
exti,imr,,reset_value,0xF940000
flash,acr,,reset_value,0x0
flash,ar,,reset_value,0x0
flash,obr,,reset_value,0xXXXX XX0X
flash,optkeyr,,reset_value,0xXXXX XXXX
flash,wrpr,,reset_value,0xXXXX XXXX
pwr,cr,,reset_value,0x0
rcc,bdcr,,reset_value,0x18
rcc,cfgr,,reset_value,0x0
rcc,cfgr,mco,bit_width,4
rcc,cr2,hsi14trim,bit_offset,3
rcc,cr2,hsi14trim,bit_width,5
rcc,csr,,reset_value,0xC000000
rtc,dr,,reset_value,0x2101
rtc,tafcr,tamp2e,bit_offset,3
rtc,tafcr,tampflt,bit_offset,11
rtc,tafcr,tampfreq,bit_offset,8
spi1,cr2,,reset_value,0x700
syscfg,cfgr1,,address_offset,0x0
syscfg,cfgr1,,reset_value,0x0
tim1,arr,,reset_value,0xFFFF
tim1,dcr,dba,bit_width,5
tim14,arr,,reset_value,0xFFFF
tim14,ccer,,address_offset,0x20
tim14,cnt,,address_offset,0x24
tim14,egr,,address_offset,0x14
tim14,or,,address_offset,0x50
tim14,sr,,address_offset,0x10
tim15,arr,,reset_value,0xFFFF
tim16,arr,,reset_value,0xFFFF
tim16,bdtr,,reset_value,0x0
tim16,dcr,dbl,bit_offset,8
tim3,arr,,reset_value,0xFFFFFFFF
tim3,dier,,address_offset,0xC
tim6,arr,,reset_value,0xFFFF
tim6,sr,,reset_value,0x0
usb,ep0r,stat_rx,bit_offset,12
usb,ep1r,stat_rx,bit_offset,12
usb,ep3r,stat_rx,bit_offset,12
usb,ep4r,stat_rx,bit_offset,12
usb,ep5r,ctr_tx,bit_offset,7
usb,ep5r,dtog_rx,bit_offset,14
usb,ep5r,dtog_tx,bit_offset,6
usb,ep5r,ep_kind,bit_offset,8
usb,ep5r,ep_type,bit_offset,9
usb,ep5r,setup,bit_offset,11
usb,ep5r,stat_rx,bit_offset,12
usb,ep5r,stat_tx,bit_offset,4
usb,fnr,lck,bit_offset,13
usb,fnr,rxdm,bit_offset,14
usb,fnr,rxdp,bit_offset,15
usb,lpmcsr,besl,bit_offset,4
usb,lpmcsr,remwake,bit_offset,3
